time,main_reservoir.storage,main_tunnel.output,surge_tank.storage,pressure_pipe_1.output,pressure_pipe_2.output,high_level_tank.storage,final_channel.output
70.0,3746.3014862259975,7.236260154092116,48.98902730042055,22.260993461622018,-9.182300267969165,6.9845976295508425,6.000000000000002
71.0,3788.8088832535454,7.321787633783932,48.499137027416346,22.10862983001341,-8.910849257770272,-2.0135590985888143,6.000000000000002
72.0,3831.2312654870384,7.407144058516364,48.01414565714218,21.956862252012634,-8.497690382918336,-10.48607999277479,6.000000000000002
73.0,3873.5688029560642,7.492329770399331,47.534004200570756,21.805678797863994,-7.9553064655346875,-18.310310458399794,6.000000000000002
74.0,3915.821665350152,7.577345110858532,47.05866415856505,21.655068059377452,-7.297321435459871,-25.378753013129668,6.000000000000002
75.0,3957.9900220194518,7.662190420636815,46.5880775169794,21.505019110738182,-6.538134368217709,-31.599652968683255,6.000000000000002
76.0,4000.074041975413,7.746866039795542,46.12219674180961,21.355521472352212,-5.692616106612348,-36.897273413187065,6.000000000000002
77.0,4042.073893891462,7.8313723077159505,45.66097477439151,21.206565077476554,-4.775866245965092,-41.21192374148732,6.000000000000002
78.0,4083.989746103679,7.915709563100518,45.204365026647594,21.058140241404015,-3.8030248583448576,-44.49979955306358,6.000000000000002
79.0,4125.8217666114715,7.999878143974317,44.75232137638112,20.910237632992708,-2.789131292397081,-46.73268335104737,6.000000000000002
80.0,4167.570123078249,8.083878387686369,44.30479816261731,20.762848248348355,-1.7490214052940611,-47.89754621445334,6.000000000000002
81.0,4209.234982832092,8.167710630910996,43.86175018099114,20.61596338648383,-0.6972543547616732,-47.99608124153435,6.000000000000002
82.0,4250.816512866428,8.251375209649174,43.42313267918123,20.469574626795396,0.3519396649986203,-47.04419056101655,6.000000000000002
83.0,4292.314879840695,8.334872459229874,42.98890135238942,20.323673808208575,1.384293207173233,-45.07184497183061,6.000000000000002
84.0,4333.730250081013,8.418202714311416,42.55901233886553,20.178253009859116,2.3808875561273832,-42.12755935355534,6.000000000000002
85.0,4375.062789580851,8.501366308882792,42.13342221547688,20.0333045331857,3.322338202485943,-38.27862665914996,6.000000000000002
86.0,4416.312664001689,8.584363576265027,41.71208799332211,19.88882088532137,4.190942178140777,-33.60920164776981,6.000000000000002
