time,upstream_channel.output,downstream_channel.output,mpc_controller.output,upstream_inflow.output,downstream_demand.output
175.0,10.0,-8.0,-1.90133836897469e-13,10.0,8.0
176.0,10.0,-7.999999999999588,5.144991056271586e-15,10.0,8.0
177.0,10.0,-7.9999988901327015,-4.104774636068389e-14,10.0,8.0
178.0,10.0,-8.0,4.036042792140209e-09,10.0,8.0
179.0,10.0,-8.0,-3.874211843383264e-09,10.0,8.0
180.0,10.0,-8.0,-1.554815955507706e-10,10.0,8.0
181.0,10.0,-8.0,-6.3740267570097274e-12,10.0,8.0
182.0,10.0,-8.0,-9.237024422785695e-14,10.0,8.0
183.0,10.0,-8.0,-9.173824000037296e-14,10.0,8.0
184.0,10.0,-7.9999999999999805,2.031937062211372e-13,10.0,8.0
185.0,10.0,-8.0,6.700208534000373e-15,10.0,8.0
186.0,10.0,-7.999999984830492,-9.936277556124918e-14,10.0,8.0
187.0,10.0,-8.0,5.513681641510848e-11,10.0,8.0
188.0,10.0,-8.0,-5.2893940484507076e-11,10.0,8.0
189.0,10.0,-8.0,-2.3241309057165118e-12,10.0,8.0
190.0,10.0,-8.0,-8.555519967627603e-14,10.0,8.0
191.0,10.0,-8.0,9.682874693763697e-14,10.0,8.0
192.0,10.0,-7.999999999999236,1.883876377783157e-13,10.0,8.0
193.0,10.0,-7.999999999999975,6.317558366088796e-14,10.0,8.0
194.0,10.0,-8.0,-7.176289034781977e-14,10.0,8.0
195.0,10.0,-7.9999999997927675,-1.619862850762593e-14,10.0,8.0
196.0,10.0,-8.0,6.843730701997277e-13,10.0,8.0
197.0,10.0,-8.0,-8.283752762003674e-13,10.0,8.0
198.0,10.0,-8.0,-9.624220496163632e-15,10.0,8.0
199.0,10.0,-7.999999999999636,-2.5084827204833452e-14,10.0,8.0
200.0,10.0,-7.999999999999292,-5.112349271198685e-15,10.0,8.0
201.0,10.0,-7.999999999999763,-2.1190428639489888e-13,10.0,8.0
202.0,10.0,-8.0,7.674554796540665e-14,10.0,8.0
203.0,10.0,-8.0,1.7051746900992133e-14,10.0,8.0
204.0,10.0,-7.999999999997428,2.497735984045063e-14,10.0,8.0
205.0,10.0,-8.0,-1.13087754291068e-14,10.0,8.0
206.0,10.0,-8.0,-1.88609040334108e-14,10.0,8.0
207.0,10.0,-8.0,-1.95723585576933e-13,10.0,8.0
208.0,10.0,-8.0,-1.9148157090081888e-14,10.0,8.0
209.0,10.0,-8.0,-6.510446083354963e-15,10.0,8.0
210.0,10.0,-7.999999999999711,-1.818676556477677e-13,10.0,8.0
211.0,10.0,-7.999999999999936,-1.2999148473720578e-13,10.0,8.0
212.0,10.0,-7.999999999999906,2.4119586374616186e-14,10.0,8.0
213.0,10.0,-8.0,5.115779896709908e-14,10.0,8.0
214.0,10.0,-8.0,-2.051278503181606e-14,10.0,8.0
215.0,10.0,-8.0,1.81342709400725e-13,10.0,8.0
216.0,10.0,-8.0,-4.759966421002264e-15,10.0,8.0
217.0,10.0,-8.0,-3.885792778063649e-14,10.0,8.0
218.0,10.0,-8.0,9.17450334253727e-14,10.0,8.0
219.0,10.0,-8.0,1.754654440437669e-13,10.0,8.0
220.0,10.0,-7.999999999999909,-1.7363943259878e-14,10.0,8.0
221.0,10.0,-7.999999999999808,1.145672755601036e-13,10.0,8.0
222.0,10.0,-8.0,-6.562581503559889e-14,10.0,8.0
223.0,10.0,-7.999999999999319,-6.884758329895539e-15,10.0,8.0
224.0,10.0,-8.0,7.360699558275998e-15,10.0,8.0
225.0,10.0,-8.0,1.9534065685707987e-13,10.0,8.0
226.0,10.0,-7.999999999999655,-1.0404348837764209e-14,10.0,8.0
227.0,10.0,-7.99999999999934,1.2022813557767638e-15,10.0,8.0
228.0,10.0,-8.0,2.6088988975273292e-14,10.0,8.0
229.0,10.0,-7.999999999999569,-1.8486677246845524e-14,10.0,8.0
230.0,10.0,-8.0,5.260072558818282e-14,10.0,8.0
231.0,10.0,-8.0,-1.5902851334467815e-14,10.0,8.0
232.0,10.0,-7.9999999999999725,-9.420587919018543e-15,10.0,8.0
233.0,10.0,-7.9999999999992655,-3.376371285593441e-14,10.0,8.0
234.0,10.0,-8.0,-1.8740215056215553e-13,10.0,8.0
235.0,10.0,-7.999999999999996,2.0838145840770744e-13,10.0,8.0
236.0,10.0,-7.999999999999902,-7.586253514319064e-15,10.0,8.0
237.0,10.0,-8.0,-1.6172822561665436e-15,10.0,8.0
238.0,10.0,-7.999999999999802,1.1178918768275343e-13,10.0,8.0
239.0,10.0,-8.0,-9.693901252776273e-14,10.0,8.0
240.0,10.0,-8.0,-7.143118709210289e-15,10.0,8.0
241.0,10.0,-8.0,-1.9501025280665854e-15,10.0,8.0
242.0,10.0,-8.0,-4.677854030357689e-14,10.0,8.0
243.0,10.0,-7.999999999999217,2.2474143436629017e-14,10.0,8.0
244.0,10.0,-8.0,-6.17950017793486e-14,10.0,8.0
245.0,10.0,-8.0,2.1368496034208742e-13,10.0,8.0
246.0,10.0,-7.99999999999958,-2.156739406330331e-13,10.0,8.0
247.0,10.0,-8.0,2.0976760124010858e-14,10.0,8.0
248.0,10.0,-8.0,-3.280029602711994e-14,10.0,8.0
249.0,10.0,-8.0,2.0763313892788402e-13,10.0,8.0
