time,upstream_channel.output,downstream_channel.output,gate.output,upstream_inflow.output,downstream_demand.output
76.0,14.981110534068526,-2.164636780838615,7.966788097089327,15.0,8.0
77.0,14.984888427254822,-1.8982265186300247,8.226059346336898,15.0,8.0
78.0,14.987910741803859,-1.6327073121108635,8.484967912174431,15.0,8.0
79.0,14.990328593443088,-1.3680131116033438,8.743581101425121,15.0,8.0
80.0,14.992262874754472,-1.1040777416197995,9.001953813403105,15.0,8.0
81.0,14.993810299803577,-0.8408364579653386,9.260130807696736,15.0,8.0
82.0,14.995048239842863,-0.5782270289437763,9.518148562239466,15.0,8.0
83.0,14.99603859187429,-0.3161904509104744,9.776036794431453,15.0,8.0
84.0,14.996830873499434,-0.05467138562823928,10.033819705511311,15.0,8.0
85.0,14.997464698799547,0.2063816115022785,10.291516997871414,15.0,8.0
86.0,14.997971759039638,0.4670160180530234,10.549144706263355,15.0,8.0
87.0,14.998377407231711,0.7272753835912642,10.806715876581311,15.0,8.0
88.0,14.998701925785369,0.9871994481619006,11.06424111990417,15.0,8.0
89.0,14.998961540628295,1.246824314824559,11.321729064516724,15.0,8.0
90.0,14.999169232502638,1.5061826568311238,11.57918672454097,15.0,8.0
91.0,14.99933538600211,1.7653039447647751,11.836619800442925,15.0,8.0
92.0,14.999468308801688,2.024214682688411,12.094032923913339,15.0,8.0
93.0,14.999574647041351,2.282938645268665,12.351429857348727,15.0,8.0
94.0,14.999659717633081,2.5414971101139248,12.608813656294902,15.0,8.0
95.0,14.999727774106466,2.799909081322008,12.866186801687386,15.0,8.0
96.0,14.999782219285173,3.058191501581491,13.123551307471132,15.0,8.0
97.0,14.999825775428139,3.316359451195378,13.380908808157816,15.0,8.0
98.0,14.999860620342512,3.5744263331654635,13.638260630040346,15.0,8.0
99.0,14.99988849627401,3.832404044045272,13.895607849099328,15.0,8.0
100.0,14.99991079701921,4.090303130682876,14.152951338075889,15.0,8.0
101.0,14.999928637615369,4.338157870923032,14.41029180472801,10.0,12.0
102.0,13.999942910092296,4.095565141466665,13.523910602475937,10.0,12.0
103.0,13.199954328073837,3.7734024785794413,12.919409734235764,10.0,12.0
104.0,12.55996346245907,3.416338909787778,12.436555865962719,10.0,12.0
105.0,12.047970769967257,3.0438322911989286,12.050554003086928,10.0,12.0
106.0,11.638376615973806,2.6698356529538687,11.741816472417986,10.0,12.0
107.0,11.310701292779045,2.3041299799205612,11.494800612855736,10.0,12.0
108.0,11.048561034223237,1.9533466003471087,11.297133757142566,10.0,12.0
109.0,10.83884882737859,1.6217535051896186,11.138944759216148,10.0,12.0
110.0,10.671079061902871,1.3118606488152091,11.012346651751487,10.0,12.0
111.0,10.536863249522296,1.02488555031147,10.911032004938171,10.0,12.0
112.0,10.429490599617838,0.7611105991691953,10.829953865551,10.0,12.0
113.0,10.343592479694271,0.5201561905912864,10.765072706719332,10.0,12.0
114.0,10.274873983755418,0.30118838019392047,10.713154930973326,10.0,12.0
115.0,10.219899187004335,0.10307562362662223,10.671612008516439,10.0,12.0
116.0,10.175919349603468,-0.07549400458332763,10.63837185183572,10.0,12.0
117.0,10.140735479682775,-0.23592618203464577,10.611775872904797,10.0,12.0
118.0,10.11258838374622,-0.37965729567454315,10.59049655633381,10.0,12.0
119.0,10.090070706996976,-0.5081094964449254,10.573471446992915,10.0,12.0
120.0,10.072056565597581,-0.6226595562787635,10.55985028173183,10.0,12.0
121.0,10.057645252478066,-0.7246181740610093,10.548952650521613,10.0,12.0
122.0,10.046116201982453,-0.8152171200159706,10.540234093450989,10.0,12.0
123.0,10.036892961585963,-0.8956021934925069,10.533258956011915,10.0,12.0
124.0,10.029514369268771,-0.9668304299581494,10.527678658068238,10.0,12.0
125.0,10.023611495415016,-1.0298703550404265,10.523214298755763,10.0,12.0
126.0,10.018889196332013,-1.0856043671984885,10.519642733563423,10.0,12.0
127.0,10.015111357065612,-1.134832552395452,10.516785431485445,10.0,12.0
128.0,10.01208908565249,-1.1782774069581843,10.514499557785,10.0,12.0
129.0,10.009671268521991,-1.2165890789839946,10.512670838275882,10.0,12.0
130.0,10.007737014817593,-1.2503508423899483,10.511207849494633,10.0,12.0
131.0,10.006189611854074,-1.2800845975152324,10.510037450026644,10.0,12.0
132.0,10.00495168948326,-1.3062562532456317,10.509101125042768,10.0,12.0
133.0,10.003961351586609,-1.329280892021273,10.508352061590543,10.0,12.0
134.0,10.003169081269288,-1.3495276540471839,10.50775280860951,10.0,12.0
135.0,10.00253526501543,-1.367324303101975,10.507273404803563,10.0,12.0
136.0,10.002028212012345,-1.382961455542568,10.506889880848876,10.0,12.0
137.0,10.001622569609877,-1.3966964680118303,10.506583061102564,10.0,12.0
138.0,10.001298055687903,-1.4087569892099607,10.506337604932565,10.0,12.0
139.0,10.001038444550323,-1.4193441878584607,10.506141239757824,10.0,12.0
140.0,10.000830755640258,-1.4286356734232448,10.505984147465206,10.0,12.0
141.0,10.000664604512208,-1.4367881288584303,10.505858473533289,10.0,12.0
142.0,10.000531683609767,-1.443939676039533,10.505757934325144,10.0,12.0
143.0,10.000425346887814,-1.4502119950250012,10.505677502918552,10.0,12.0
144.0,10.000340277510253,-1.4557122180872788,10.50561315776763,10.0,12.0
145.0,10.000272222008203,-1.4605346187939912,10.50556168163047,10.0,12.0
146.0,10.000217777606563,-1.4647621154515902,10.505520500710238,10.0,12.0
147.0,10.000174222085251,-1.4684676070641873,10.505487555967326,10.0,12.0
148.0,10.000139377668201,-1.471715158695666,10.505461200168694,10.0,12.0
149.0,10.000111502134562,-1.4745610518164232,10.505440115527032,10.0,12.0
150.0,10.00008920170765,-1.4770547139125387,10.50542324781194,10.0,12.0
151.0,10.000071361366121,-1.4692644780221378,10.505409753638736,10.0,8.0
152.0,10.000057089092897,-0.9736692142124012,10.505398958299454,10.0,8.0
153.0,10.000045671274318,-0.5398702117452667,10.505390322027564,10.0,8.0
154.0,10.000036537019454,-0.16016193299308784,10.505383413009755,10.0,8.0
155.0,10.000029229615564,0.17220031581720563,10.505377885795319,10.0,8.0
156.0,10.00002338369245,0.4631202012963428,10.505373464023648,10.0,8.0
157.0,10.000018706953961,0.7177652377026966,10.505369926606235,10.0,8.0
158.0,10.00001496556317,0.9406585833766192,10.50536709667226,10.0,8.0
159.0,10.000011972450535,1.1357593898624916,10.50536483272504,10.0,8.0
160.0,10.000009577960428,1.306533131338725,10.505363021567247,10.0,8.0
161.0,10.000007662368343,1.4560131639135376,10.505361572641002,10.0,8.0
162.0,10.000006129894675,1.586854608495164,10.505360413499995,10.0,8.0
163.0,10.000004903915741,1.7013815145373803,10.505359486187183,10.0,8.0
164.0,10.000003923132594,1.8016281425689014,10.505358744336933,10.0,8.0
165.0,10.000003138506075,1.8893750989153386,10.50535815085673,10.0,8.0
166.0,10.00000251080486,1.9661809645569481,10.505357676072565,10.0,8.0
167.0,10.000002008643888,2.0334099800082037,10.505357296245231,10.0,8.0
168.0,10.000001606915111,2.092256278033115,10.505356992383366,10.0,8.0
169.0,10.00000128553209,2.1437650946775615,10.505356749293874,10.0,8.0
170.0,10.000001028425672,2.188851335416574,10.505356554822278,10.0,8.0
171.0,10.000000822740537,2.2283158262263196,10.505356399244999,10.0,8.0
172.0,10.00000065819243,2.2628595382624095,10.505356274783178,10.0,8.0
173.0,10.000000526553945,2.29309603882717,10.505356175213725,10.0,8.0
174.0,10.000000421243156,2.3195623897989215,10.50535609555816,10.0,8.0
175.0,10.000000336994525,2.342728687116222,10.505356031833704,10.0,8.0
176.0,10.00000026959562,2.3630064107693256,10.505355980854144,10.0,8.0
177.0,10.000000215676497,2.38075573362084,10.505355940070496,10.0,8.0
178.0,10.000000172541197,2.396291918882326,10.505355907443574,10.0,8.0
179.0,10.000000138032958,2.4098909198847225,10.505355881342037,10.0,8.0
180.0,10.000000110426367,2.4217942816103695,10.505355860460812,10.0,8.0
181.0,10.000000088341094,2.4322134310513097,10.50535584375583,10.0,8.0
182.0,10.000000070672876,2.4413334326020877,10.505355830391842,10.0,8.0
183.0,10.000000056538301,2.449316275192603,10.505355819700656,10.0,8.0
184.0,10.00000004523064,2.456303749548837,10.505355811147702,10.0,8.0
185.0,10.000000036184513,2.4624199666887394,10.505355804305342,10.0,8.0
186.0,10.00000002894761,2.4677735623878823,10.50535579883145,10.0,8.0
187.0,10.000000023158089,2.472459626771422,10.505355794452342,10.0,8.0
188.0,10.000000018526471,2.4765613933064414,10.50535579094905,10.0,8.0
189.0,10.000000014821177,2.4801517171950396,10.50535578814642,10.0,8.0
190.0,10.000000011856942,2.4832943694277754,10.505355785904317,10.0,8.0
191.0,10.000000009485554,2.4860451694827215,10.505355784110632,10.0,8.0
192.0,10.000000007588444,2.4884529767893566,10.505355782675686,10.0,8.0
193.0,10.000000006070755,2.490560558567832,10.505355781527726,10.0,8.0
194.0,10.000000004856604,2.4924053494582967,10.505355780609364,10.0,8.0
195.0,10.000000003885283,2.4940201164329068,10.505355779874671,10.0,8.0
196.0,10.000000003108227,2.495433540800738,10.505355779286914,10.0,8.0
197.0,10.000000002486582,2.4966707276432287,10.505355778816712,10.0,8.0
198.0,10.000000001989266,2.49775365172876,10.505355778440551,10.0,8.0
199.0,10.000000001591413,2.4987015478267365,10.505355778139618,10.0,8.0
