time,main_river_channel.storage,branch1_channel.output,branch2_pipe.output,regulating_reservoir.storage,total_outflow.output
121.0,3826.309113899136,393.3105933845321,-10.909040837325765,15875.760277194613,864.0089820439434
122.0,3838.0460227601443,393.92956835360326,-10.930863121456625,15941.243776882868,865.7934057200965
123.0,3849.665562532543,394.5413965980514,-10.95507004136444,16006.005227901896,867.5545437921796
124.0,3861.1689069072177,395.1461729897328,-10.974193269288044,16070.057103064304,869.2928759532648
125.0,3872.5572178381453,395.7439908239724,-11.001610148599358,16133.39834167839,871.0085100484923
126.0,3883.831645659764,396.33494185425184,-11.013316931502338,16196.051999767573,872.7022026038899
127.0,3894.9933292031665,396.9191163258994,-11.052550672510685,16257.99752542561,874.3735271525846
128.0,3906.0433959111347,397.4966030088167,-11.041216082557012,16319.292961843357,876.0241733136983
129.0,3916.9829619520233,398.0674892292765,-11.120799736978551,16379.853792098787,877.6519881388933
130.0,3927.813132332503,398.6318609008244,-11.034143579768578,16439.854433577868,879.2617736900953
131.0,3938.535001009178,399.1898025543168,-11.249718164081635,16498.997429296545,880.8456698794647
132.0,3949.149650999086,399.74139736712374,-10.910609871064421,16557.848268206675,882.4189198983086
133.0,3959.658154489095,400.28672719152644,-11.584988313017165,16615.39304172105,883.9545475540006
134.0,3970.0615729442043,400.8258725823378,-10.3832138436527,16673.527839625316,885.5032163131648
135.0,3980.360957214762,401.3589128237704,-12.598886053677207,16728.817309602902,886.9735788825501
136.0,3990.5573476426143,401.88592595557975,-8.384369618093027,16787.74251974833,888.5379515228684
137.0,4000.6517741661883,402.40698879850584,-15.48640544686979,16838.908252705,889.8940914199193
138.0,4010.6452564245265,402.92217697903703,-1.0523486823164405,16903.99991594762,891.6163547794403
139.0,4020.5388038602814,403.4315649535185,-17.075923299993057,16952.275559282192,892.8915367467815
140.0,4030.3334158216785,403.9352260316267,3.839034567579458,17021.004308695756,894.7038438063947
141.0,4040.0300816634617,404.43323239923177,-14.314753866162302,17070.70270105491,896.0120560634198
142.0,4049.629780846827,404.9256551406661,-4.5496535180923265,17129.664648656384,897.5616401811709
143.0,4059.133483038359,405.41256426041946,-18.29604521955239,17174.187874724124,898.7299885058701
144.0,4068.5421482079755,405.8940287042793,7.900251876489605,17244.49839781041,900.5719427720771
145.0,4077.856726725896,406.37011637993305,-16.5390530205176,17289.439493213617,901.747312470585
146.0,4087.078159458637,406.84089417704956,1.753383769403958,17352.244981295797,903.3873377799929
147.0,4096.207377864051,407.3064279868578,-15.23433554853959,17397.2721741082,904.5612924896707
148.0,4105.24530408541,407.7667827212358,-2.3240039402813712,17454.76950940699,906.0581590700489
149.0,4114.192851044556,408.2220223313275,-18.331349122364735,17495.564792427813,907.1187119682345
150.0,4123.05092253411,408.6722098257007,7.7200729609809375,17562.045779365937,908.8443630929337
151.0,4131.820413308769,409.11740728806126,-16.666712762296292,17603.255558304383,909.9124048086167
152.0,4140.502209175682,409.55767589453615,1.8632207724445704,17662.611343805278,911.4485405328946
153.0,4149.097187083925,409.99307593053885,-15.47398846777467,17703.87820439194,912.5150085297064
154.0,4157.606215213085,410.42366680723,-1.921927233437198,17758.302379877892,913.9196008222717
155.0,4166.030153060954,410.84950707758503,-18.438969437862557,17795.546869920057,914.8795728210237
156.0,4174.369851530345,411.2706544520805,7.827392147736806,17858.733979121473,916.505912538391
157.0,4182.626153015041,411.6871658140112,-17.057577626299935,17896.188887726756,917.4685837797181
158.0,4190.799891484891,412.09909723444764,2.8685719843335304,17953.232779191003,918.9327961847154
159.0,4198.891892570043,412.5065039868451,-15.354227674462864,17991.320399919565,919.9091382280758
160.0,4206.902973644343,412.90944056131525,-2.5490819567146357,18041.854350525773,921.2029335363501
161.0,4214.833943907899,413.30796067856824,-18.9821932853884,18075.343030908436,922.0593272062044
162.0,4222.68560446882,413.7021173035365,9.602948160767124,18137.14123575457,923.6375852753239
163.0,4230.458748424132,414.0919626586883,-19.490645314155696,18168.999728384013,924.450163498562
164.0,4238.154160939891,414.4775482370403,11.494955237955507,18231.59223729133,926.0445626374427
165.0,4245.7726193304925,414.8589248148774,-22.772042474627522,18259.047274885754,926.7430506327757
166.0,4253.314893137188,415.23614246418856,25.784204292709234,18334.886676144935,928.6697630025352
167.0,4260.781744205816,415.60925056482597,-76.40662519711128,18307.39156798975,927.9717075451675
168.0,4268.173926763758,415.97829781639547,649.3909268195505,19006.612961265902,945.5637123733953
169.0,4275.49218749612,416.34333224988586,-53062.402176984324,-34019.57814269385,0.0
170.0,4282.737265621159,416.70440123904416,358442655.3428725,358409732.86069393,129978.36617561079
171.0,4289.909892964947,417.06155151150324,-1.635872610154562e+16,-1.6358725750303664e+16,0.0
172.0,4297.010794035297,417.4148291596696,3.4072898580228493e+31,3.4072898580228475e+31,4.0076126609506056e+16
173.0,4304.040686094944,417.7642796513767,-1.4781832601141892e+62,-1.4781832601141892e+62,0.0
174.0,4311.000279233995,418.1099478403112,2.782061191778071e+123,2.782061191778071e+123,3.621300284426888e+62
175.0,4317.890276441654,418.4518779762167,-9.854701520203184e+245,-9.854701520203184e+245,0.0
176.0,4324.711373677238,418.79011371488286,inf,inf,inf
177.0,4331.464259940466,419.1246981279237,nan,nan,nan
178.0,4338.1496173410615,419.45567371235194,nan,nan,nan
179.0,4344.768121167651,419.78308239995374,nan,nan,nan
180.0,4351.3204399559745,420.10696556646985,nan,nan,nan
181.0,4357.8072355564145,420.4273640405878,nan,nan,nan
182.0,4364.22916320085,420.74431811274985,nan,nan,nan
183.0,4370.586871568841,421.05786754378164,nan,nan,nan
184.0,4376.8810028531525,421.36805157334595,nan,nan,nan
185.0,4383.112192824621,421.6749089282262,nan,nan,nan
186.0,4389.281070896375,421.9784778304439,nan,nan,nan
187.0,4395.388260187411,422.2787960052141,nan,nan,nan
188.0,4401.434377585537,422.57590068874254,nan,nan,nan
189.0,4407.420033809682,422.8698286358696,nan,nan,nan
190.0,4413.345833471585,423.1606161275637,nan,nan,nan
