time,upstream_channel.output,downstream_channel.output,pid_controller_downstream.output,upstream_inflow.output,downstream_demand.output
115.0,10.0,-12.0,-10.0,10.0,12.0
116.0,10.0,-12.0,-10.1,10.0,12.0
117.0,10.0,-12.0,-10.200000000000001,10.0,12.0
118.0,10.0,-12.0,-10.3,10.0,12.0
119.0,10.0,-12.0,-10.4,10.0,12.0
120.0,10.0,-12.0,-10.5,10.0,12.0
121.0,10.0,-12.0,-10.6,10.0,12.0
122.0,10.0,-12.0,-10.700000000000001,10.0,12.0
123.0,10.0,-12.0,-10.8,10.0,12.0
124.0,10.0,-12.0,-10.9,10.0,12.0
125.0,10.0,-12.0,-11.0,10.0,12.0
126.0,10.0,-12.0,-11.1,10.0,12.0
127.0,10.0,-12.0,-11.200000000000001,10.0,12.0
128.0,10.0,-12.0,-11.3,10.0,12.0
129.0,10.0,-12.0,-11.4,10.0,12.0
130.0,10.0,-12.0,-11.5,10.0,12.0
131.0,10.0,-12.0,-11.6,10.0,12.0
132.0,10.0,-12.0,-11.700000000000001,10.0,12.0
133.0,10.0,-12.0,-11.8,10.0,12.0
134.0,10.0,-12.0,-11.9,10.0,12.0
135.0,10.0,-12.0,-12.0,10.0,12.0
136.0,10.0,-12.0,-12.1,10.0,12.0
137.0,10.0,-12.0,-12.200000000000001,10.0,12.0
138.0,10.0,-12.0,-12.3,10.0,12.0
139.0,10.0,-12.0,-12.4,10.0,12.0
140.0,10.0,-12.0,-12.5,10.0,12.0
141.0,10.0,-12.0,-12.6,10.0,12.0
142.0,10.0,-12.0,-12.700000000000001,10.0,12.0
143.0,10.0,-12.0,-12.8,10.0,12.0
144.0,10.0,-12.0,-12.9,10.0,12.0
145.0,10.0,-12.0,-13.0,10.0,12.0
146.0,10.0,-12.0,-13.1,10.0,12.0
147.0,10.0,-12.0,-13.200000000000001,10.0,12.0
148.0,10.0,-12.0,-13.3,10.0,12.0
149.0,10.0,-12.0,-13.4,10.0,12.0
150.0,10.0,-12.0,-13.5,10.0,12.0
151.0,10.0,-12.0,-13.6,10.0,8.0
152.0,10.0,-12.0,-13.700000000000001,10.0,8.0
153.0,10.0,-12.0,-13.8,10.0,8.0
154.0,10.0,-12.0,-13.9,10.0,8.0
155.0,10.0,-12.0,-14.0,10.0,8.0
156.0,10.0,-12.0,-14.1,10.0,8.0
157.0,10.0,-12.0,-14.200000000000001,10.0,8.0
158.0,10.0,-12.0,-14.3,10.0,8.0
159.0,10.0,-8.0,-14.4,10.0,8.0
160.0,10.0,-8.0,-14.240000000000002,10.0,8.0
161.0,10.0,-8.0,-14.360000000000001,10.0,8.0
162.0,10.0,-8.0,-14.440000000000001,10.0,8.0
163.0,10.0,-8.0,-14.520000000000001,10.0,8.0
164.0,10.0,-8.0,-14.600000000000001,10.0,8.0
165.0,10.0,-8.0,-14.680000000000001,10.0,8.0
166.0,10.0,-8.0,-14.760000000000002,10.0,8.0
167.0,10.0,-8.0,-14.840000000000002,10.0,8.0
168.0,10.0,-8.0,-14.920000000000002,10.0,8.0
169.0,10.0,-8.0,-15.000000000000002,10.0,8.0
170.0,10.0,-8.0,-15.080000000000002,10.0,8.0
171.0,10.0,-8.0,-15.16,10.0,8.0
172.0,10.0,-8.0,-15.24,10.0,8.0
173.0,10.0,-8.0,-15.32,10.0,8.0
174.0,10.0,-8.0,-15.4,10.0,8.0
175.0,10.0,-8.0,-15.48,10.0,8.0
176.0,10.0,-8.0,-15.56,10.0,8.0
177.0,10.0,-8.0,-15.64,10.0,8.0
178.0,10.0,-8.0,-15.72,10.0,8.0
179.0,10.0,-8.0,-15.8,10.0,8.0
180.0,10.0,-8.0,-15.88,10.0,8.0
181.0,10.0,-8.0,-15.96,10.0,8.0
182.0,10.0,-8.0,-16.04,10.0,8.0
183.0,10.0,-8.0,-16.12,10.0,8.0
184.0,10.0,-8.0,-16.2,10.0,8.0
185.0,10.0,-8.0,-16.28,10.0,8.0
186.0,10.0,-8.0,-16.36,10.0,8.0
187.0,10.0,-8.0,-16.44,10.0,8.0
188.0,10.0,-8.0,-16.52,10.0,8.0
189.0,10.0,-8.0,-16.6,10.0,8.0
190.0,10.0,-8.0,-16.68,10.0,8.0
191.0,10.0,-8.0,-16.76,10.0,8.0
192.0,10.0,-8.0,-16.84,10.0,8.0
193.0,10.0,-8.0,-16.92,10.0,8.0
194.0,10.0,-8.0,-17.0,10.0,8.0
195.0,10.0,-8.0,-17.080000000000002,10.0,8.0
196.0,10.0,-8.0,-17.16,10.0,8.0
197.0,10.0,-8.0,-17.240000000000002,10.0,8.0
198.0,10.0,-8.0,-17.32,10.0,8.0
199.0,10.0,-8.0,-17.400000000000002,10.0,8.0
200.0,10.0,-8.0,-17.48,10.0,8.0
201.0,10.0,-8.0,-17.560000000000002,10.0,8.0
202.0,10.0,-8.0,-17.64,10.0,8.0
203.0,10.0,-8.0,-17.720000000000002,10.0,8.0
204.0,10.0,-8.0,-17.8,10.0,8.0
205.0,10.0,-8.0,-17.880000000000003,10.0,8.0
206.0,10.0,-8.0,-17.96,10.0,8.0
207.0,10.0,-8.0,-18.040000000000003,10.0,8.0
208.0,10.0,-8.0,-18.12,10.0,8.0
209.0,10.0,-8.0,-18.200000000000003,10.0,8.0
210.0,10.0,-8.0,-18.28,10.0,8.0
211.0,10.0,-8.0,-18.36,10.0,8.0
212.0,10.0,-8.0,-18.44,10.0,8.0
213.0,10.0,-8.0,-18.52,10.0,8.0
214.0,10.0,-8.0,-18.6,10.0,8.0
215.0,10.0,-8.0,-18.68,10.0,8.0
216.0,10.0,-8.0,-18.76,10.0,8.0
217.0,10.0,-8.0,-18.84,10.0,8.0
